[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\baseconv.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\remote\remote_connection.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\glob.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\forms\renderers.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\distutils\version.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\http\cookie.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\blackberry\__init__.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\timesince.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\remote\file_detector.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\concurrent\futures\thread.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\sqlite3\dbapi2.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\urls\base.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\html\entities.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\_bootlocale.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\phantomjs\service.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\getpass.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\support\wait.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\shutil.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\email\mime\__init__.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\tokenize.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\unittest\util.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\firefox\extension_connection.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\html\__init__.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\DLLs\_socket.pyd first seen with mtime 1589896260.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\options.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\pytz\lazy.py first seen with mtime 1588612719.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\email\headerregistry.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\ie\service.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\webkitgtk\options.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\collections\abc.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\apps\config.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\inspect.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\asyncio\staggered.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\asyncio\proactor_events.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\__future__.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\sre_parse.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\javascipt\atom\MarksWebScraping\mainApp\models.py first seen with mtime 1577825315.0888858
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\asyncio\selector_events.py first seen with mtime 1589391114.0
